Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.05,-.36,-.12,-.02,-.83,-.45,-.26,-.15,-.10,-.04,.05,.63
1881,-.07,-.16,.00,-.32,.11,-.07,-.93,-.42,-.17,.10,.11,-.05,-.07,.56
1882,-.10,-.19,-.01,-.28,-.04,.01,-1.42,-.24,-.11,-.04,-.05,.01,.04,.59
1883,-.17,-.27,-.07,-.33,-.16,-.01,-.21,-.53,-.23,-.17,-.15,-.04,.07,.46
1884,-.28,-.42,-.15,-.59,-.14,-.14,-1.35,-.64,-.43,-.12,-.16,-.19,-.02,.61
1885,-.32,-.41,-.25,-.63,-.12,-.28,-1.55,-.66,-.42,-.04,-.20,-.34,-.15,.78
1886,-.30,-.41,-.20,-.55,-.18,-.22,-1.63,-.48,-.37,-.18,-.18,-.20,-.21,.55
1887,-.35,-.41,-.29,-.51,-.28,-.29,-1.80,-.49,-.26,-.27,-.30,-.28,-.26,.28
1888,-.16,-.21,-.12,-.40,.11,-.29,-1.34,-.40,-.21,.10,.12,-.31,-.23,.12
1889,-.10,-.16,-.04,-.28,.09,-.17,-.72,-.21,-.25,.04,.14,-.16,-.15,.41
1890,-.35,-.37,-.33,-.46,-.36,-.23,-1.17,-.57,-.25,-.24,-.48,-.18,-.27,.11
1891,-.22,-.24,-.20,-.41,-.07,-.22,-1.15,-.32,-.34,.03,-.17,-.18,-.24,-.20
1892,-.27,-.37,-.16,-.42,-.29,-.08,-1.15,-.63,-.15,-.30,-.27,.02,-.22,.05
1893,-.31,-.46,-.16,-.50,-.36,-.05,-.72,-.54,-.44,-.40,-.31,.06,-.20,-.08
1894,-.29,-.36,-.22,-.31,-.33,-.24,-.97,-.32,-.15,-.45,-.19,-.15,-.35,-.42
1895,-.22,-.28,-.15,-.38,-.06,-.26,-.68,-.51,-.24,-.11,.00,-.20,-.32,-.62
1896,-.10,-.17,-.04,-.33,.11,-.16,-.88,-.34,-.19,.08,.13,-.15,-.13,.22
1897,-.10,-.14,-.06,-.33,.17,-.24,-.56,-.45,-.21,.16,.19,-.19,-.27,.36
1898,-.26,-.25,-.27,-.31,-.22,-.27,-1.13,-.18,-.20,-.16,-.28,-.28,-.21,.34
1899,-.17,-.19,-.15,-.22,-.12,-.19,-1.06,-.07,-.12,-.15,-.09,-.16,-.22,.54
1900,-.07,-.06,-.08,-.18,.18,-.30,-.56,-.11,-.13,.12,.24,-.29,-.29,.23
1901,-.15,-.11,-.19,-.15,-.03,-.31,-.45,-.09,-.12,-.04,-.03,-.28,-.34,.22
1902,-.28,-.32,-.23,-.52,-.04,-.35,-1.43,-.50,-.30,-.01,-.07,-.28,-.43,-.09
1903,-.37,-.37,-.37,-.46,-.29,-.39,-.31,-.40,-.53,-.23,-.35,-.35,-.40,-.50
1904,-.47,-.47,-.47,-.49,-.47,-.44,-.20,-.58,-.53,-.43,-.51,-.37,-.49,-1.32
1905,-.26,-.27,-.24,-.39,-.09,-.36,-.08,-.21,-.60,-.10,-.07,-.33,-.37,-.34
1906,-.22,-.22,-.22,-.24,-.20,-.24,-.29,-.04,-.37,-.20,-.20,-.21,-.23,-.71
1907,-.39,-.46,-.31,-.58,-.31,-.30,-.61,-.71,-.50,-.30,-.33,-.21,-.37,-1.20
1908,-.43,-.45,-.41,-.47,-.44,-.36,-.25,-.52,-.50,-.42,-.47,-.29,-.48,.67
1909,-.48,-.48,-.48,-.52,-.48,-.45,-.76,-.60,-.42,-.43,-.54,-.38,-.52,-.57
1910,-.43,-.44,-.44,-.40,-.50,-.38,-.58,-.22,-.47,-.49,-.50,-.33,-.45,.16
1911,-.44,-.42,-.46,-.41,-.43,-.48,-.30,-.40,-.45,-.43,-.44,-.44,-.53,.05
1912,-.36,-.46,-.26,-.58,-.19,-.37,-.50,-.77,-.48,-.28,-.10,-.37,-.29,-1.64
1913,-.34,-.41,-.27,-.43,-.28,-.35,-.50,-.32,-.49,-.39,-.16,-.28,-.40,-1.04
1914,-.15,-.18,-.12,-.24,-.07,-.18,-.38,-.15,-.26,-.11,-.03,-.16,-.18,-.37
1915,-.14,-.14,-.14,-.22,-.02,-.22,-.60,-.15,-.17,-.01,-.03,-.15,-.24,-1.98
1916,-.36,-.41,-.31,-.36,-.45,-.23,-.49,-.53,-.22,-.49,-.42,-.23,-.17,-1.05
1917,-.46,-.57,-.37,-.49,-.64,-.19,-.84,-.49,-.41,-.69,-.60,-.23,-.10,.06
1918,-.30,-.39,-.21,-.40,-.34,-.14,-1.04,-.26,-.33,-.38,-.29,-.06,-.23,-.28
1919,-.28,-.35,-.21,-.43,-.21,-.22,-.72,-.55,-.28,-.23,-.18,-.15,-.32,.19
1920,-.28,-.30,-.25,-.24,-.26,-.32,-.03,-.19,-.33,-.37,-.15,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.02,-.26,-.31,-.03,.18,-.07,-.29,-.23,-.23,-.38,-.84
1922,-.28,-.27,-.30,-.24,-.33,-.28,-.32,-.39,-.12,-.32,-.33,-.24,-.29,-.28
1923,-.27,-.22,-.31,-.14,-.30,-.34,.15,-.14,-.24,-.32,-.28,-.26,-.41,-.55
1924,-.27,-.18,-.36,-.12,-.26,-.43,.44,-.24,-.21,-.27,-.26,-.40,-.45,-.53
1925,-.22,-.14,-.31,-.03,-.25,-.38,-.09,.19,-.17,-.29,-.21,-.24,-.55,-.86
1926,-.11,.02,-.22,.04,.00,-.41,.56,.17,-.20,.00,.01,-.35,-.45,-.64
1927,-.22,-.13,-.30,-.12,-.17,-.39,.01,-.21,-.11,-.15,-.19,-.30,-.46,-1.38
1928,-.20,-.10,-.30,-.06,-.16,-.40,.71,-.16,-.22,-.16,-.17,-.29,-.48,-2.12
1929,-.36,-.33,-.39,-.37,-.29,-.46,.13,-.61,-.37,-.28,-.29,-.43,-.45,-1.08
1930,-.16,-.01,-.30,.05,-.12,-.42,.52,.04,-.09,-.10,-.14,-.33,-.47,-2.60
1931,-.09,.05,-.22,.02,.07,-.43,.57,-.04,-.13,.10,.04,-.42,-.40,-.41
1932,-.16,-.05,-.26,.04,-.17,-.35,.48,.20,-.19,-.19,-.15,-.21,-.53,-.99
1933,-.29,-.25,-.32,-.23,-.29,-.34,-.16,-.47,-.10,-.29,-.29,-.22,-.49,-1.15
1934,-.13,.00,-.26,.18,-.26,-.26,.88,.31,-.11,-.27,-.25,-.16,-.38,-.57
1935,-.20,-.10,-.31,-.04,-.19,-.38,.34,-.05,-.15,-.18,-.21,-.31,-.42,-1.72
1936,-.15,-.04,-.27,-.02,-.14,-.30,.39,.10,-.24,-.06,-.22,-.27,-.33,-.04
